"Depth","Display Name","Type","Continuous Quantity","Dictionary","Current Expression","Projected Expression","Variant Expression","Maturity State(R)","Current Evolution Expression","Description(R)","Planning Required(R)","Projected Evolution Expression","Bundle","B.I.","Title(R)","Name(R)","Revision(R)","Revision Comment(R)","Number of Manufacturing Assembly(R)","Outsourced(R)","Estimated Time(R)","Estimated Cost(R)","Estimated Cost currency(R)","Lead Time Description(R)","Manufactured Item classification(R)","Spare Manufactured Item(R)","Material Category(R)","Estimated Weight(R)","Target Release date(R)","Creation date(R)","Created From(R)","Last modification(R)","Collaborative Policy(R)","Owner(R)","Organization(R)","Collaborative Space(R)","Is Lot Number Required(R)","Is Serial Number Required(R)","Operation State(R)","Planned Start(R)","Planned End(R)","Actual Start(R)","Actual End(R)","Name","Description","Creation date","Last modification","Owner","Organization","Collaborative Space","Deformed Part","Quantity","Torque code","Nominal fastening torque","Torque maximum lower deviation","Torque maximum upper deviation","Entry hole depth","Entry hole countersunk angle","Entry hole type","Entry hole counterbore diameter","Assembly clearance","Boring code","Nominal drilling diameter","Drilling diameter maximum lower deviation","Drilling diameter maximum upper deviation","Head orientation","Quantity(R)"
"1","MBOM-Racecar A","Manufacturing Assembly","1","","","","","In Work","","","Yes","","","112128144","MBOM-Racecar","mass-R1132101478896-00000292","A","","","No","0s","0","","","","False","","0kg","","04/12/2024","","06/14/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","Battery Assembly A (Battery Assembly.1)","Manufacturing Assembly","1","","","","","In Work","","","Yes","","","112128144","Battery Assembly","mass-R1132101478896-00000616","A","","","No","0s","0","","","","False","","0kg","","06/15/2024","","06/15/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","Battery Assembly.1","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"3","Traxxas Battery Assy A (Manufacturing Assembly00000617.21)","Manufacturing Assembly","1","","","","","In Work","","","Yes","","","112128144","Traxxas Battery Assy","mass-R1132101478896-00000617","A","","","No","0s","0","","","","False","","0kg","","06/15/2024","","06/15/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","Manufacturing Assembly00000617.21","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","battery pack A (NAUO504)","Provided Part","1","","","","","In Work","","","","","","112128144","battery pack","prvd-R1132101478896-00001820","A","","","","0s","0","","","","False","","0kg","","05/02/2024","","05/02/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO504","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","Traxxas Battery Cable GND A (NAUO505)","Provided Part","1","","","","","In Work","","","","","","112128144","Traxxas Battery Cable GND","prvd-R1132101478896-00001821","A","","","","0s","0","","","","False","","0kg","","05/02/2024","","05/02/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO505","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","Traxxas Connector A (NAUO506)","Provided Part","1","","","","","In Work","","","","","","112128144","Traxxas Connector","prvd-R1132101478896-00001822","A","","","","0s","0","","","","False","","0kg","","05/02/2024","","05/02/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO506","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","Traxxas Battery Cable Plus A (NAUO507)","Provided Part","1","","","","","In Work","","","","","","112128144","Traxxas Battery Cable Plus","prvd-R1132101478896-00001823","A","","","","0s","0","","","","False","","0kg","","05/02/2024","","05/02/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO507","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"2","Cable Assembly A (Cable Assembly.1)","Manufacturing Assembly","1","","","","","In Work","","","Yes","","","112128144","Cable Assembly","mass-R1132101478896-00000612","A","","","No","0s","0","","","","False","","0kg","","06/15/2024","","06/15/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","Cable Assembly.1","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"3","VESC servo cable Assy A (Manufacturing Assembly00000613.5)","Manufacturing Assembly","1","","","","","In Work","","","Yes","","","112128144","VESC servo cable Assy","mass-R1132101478896-00000613","A","","","No","0s","0","","","","False","","0kg","","06/15/2024","","06/15/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","Manufacturing Assembly00000613.5","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","VESC Servo Cable GND A (NAUO469)","Provided Part","1","","","","","In Work","","","","","","112128144","VESC Servo Cable GND","prvd-R1132101478896-00001855","A","","","","0s","0","","","","False","","0kg","","06/15/2024","","06/15/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO469","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
